"Listado de Existencias		",,,,
"Reportes de inventario Fecha: 23/07/2025		",,,,
,,,,
"Codigo			","Nombre			",Modelo,Marca,
"010101               CONVENIENCIA/ACCESORIOS DE COCINA/HOGAR                                         		",,,,
"010101001           		","MARSCHALL M 50 AZUL X 100 TABLETAS                                                        		","CELULOSA MICROCRISTALINA, CUAJO DE ORIGEN MICROBIANO                                      ",VARIOS                                                                                    ,
"010101002           		","ACEITE DE OLIVA SASSO LATA X 175 ML                                                       		",ACEITE DE OLIVA                                                                           ,RAFAEL SALGADO                                                                            ,
"010101003           		","PURPURINA CAFE PARA DULCE SOBRES                                                          		",PURPURINA                                                                                 ,LABORATORIO CHARLAIX                                                                      ,
"010101004           		","PURPURINA ROJO PUNZO DULCE ONZAS                                                          		",PURPURINA                                                                                 ,LABORATORIO CHARLAIX                                                                      ,
"010101005           		","PURPURINA AMARILLO DULCE ONZAS                                                            		",PURPURINA                                                                                 ,LABORATORIO CHARLAIX                                                                      ,
"010101006           		","PURPURINA CAFE DULCE ONZAS                                                                		",PURPURINA                                                                                 ,LABORATORIO CHARLAIX                                                                      ,
"010101007           		","VINAGRE DE CASTILLA (ACIDO ACETICO)                                                       		",VINAGRE                                                                                   ,DROGUERIA INTERNACIONAL                                                                   ,
"010101008           		","PURPURINA VERDE ESMERALDA ONZAS                                                           		",PURPURINA                                                                                 ,LABORATORIO CHARLAIX                                                                      ,
"010101009           		","PURPURINA VERDE ESMERALDA SOBRES                                                          		",PURPURINA                                                                                 ,LABORATORIO CHARLAIX                                                                      ,
"010101010           		","PRESERBANTE DE COMIDA ONZAS (BENZOATO DE SODIO)                                           		",BENZOATO DE SODIO                                                                         ,LABORATORIO CHARLAIX                                                                      ,
"010101011           		","PURPURINA ROSADA X SOBRES                                                                 		",PURPURINA                                                                                 ,LABORATORIO CHARLAIX                                                                      ,
"010101012           		","PURPURINA ROSADA X ONZAS                                                                  		",PURPURINA                                                                                 ,LABORATORIO CHARLAIX                                                                      ,
"010101013           		","TARTARO EMETICO ONZAS                                                                     		",TARTARO                                                                                   ,LABORATORIO CHARLAIX                                                                      ,
"010101014           		","TARTARO EMETICO SOBRE                                                                     		",TARTARO                                                                                   ,LABORATORIO CHARLAIX                                                                      ,
"010101015           		","ACEITE DE COCO CARRINTON FARMS X 54 ONZAS                                                 		",ACEITE DE COCO                                                                            ,VARIOS                                                                                    ,
"010101016           		","ACEITE DE COCO X 400 ML # 8016867008969                                                   		",ACEITE                                                                                    ,COPRODISA                                                                                 ,
"010101017           		","ACEITE DE OLIVA SASSO X 250 ML                                                            		",ACEITE DE OLIVA                                                                           ,RAFAEL SALGADO                                                                            ,
"010101018           		","ACEITE DE OLIVA EXTRA VIRGEN OLITALIA X 250 ML                                            		",ACEITE DE OLIVA EXTRA VIRGEN                                                              ,MONDAISA TE                                                                               ,
"010101019           		","ACEITE DE OLIVA EXTRA VIRGEN OLITALIA X 500 ML                                            		",ACEITE DE OLIVA EXTRA VIRGEN                                                              ,MONDAISA TE                                                                               ,
"010101020           		","ACEITE DE OLIVA EXTRA VIRGEN OLITALIA X 100 ML                                            		",ACEITE DE OLIVA EXTRA VIRGEN                                                              ,MONDAISA TE                                                                               ,
,,,,
"010201               CONVENIENCIA/ACCESORIOS DE HIGIENE BUCAL/HIGIENE BUCAL                          		",,,,
"010201001           		","ORAL B MANGO INTERDENTAL ST                                                               		",HIGIENE BUCAL                                                                             ,ORAL B                                                                                    ,
"010201002           		","REPUESTO ORAL B INTERDENTAL CONICO X 6 UNIDADES                                           		",CEPILLOS                                                                                  ,ORAL B                                                                                    ,
"010201003           		","REPUESTO ORAL B INTERDENTAL CILINDRICO X 6 UNIDADE                                        		",REPUESTO INTERDENTAL                                                                      ,ORAL B                                                                                    ,
"010201004           		","KIN INTERDENTAL ULTRAMICRO 0.6 MM X 6 UNIDADES                                            		",KIT INTERDENTAL                                                                           ,KIN                                                                                       ,
"010201005           		","KIN INTERDENTAL MINI 1.1 MM X 6 UNIDADES                                                  		",KIT INTERDENTAL                                                                           ,KIN                                                                                       ,
,,,,
"010301               CONVENIENCIA/ACCESORIOS DE LACTANCIA/MAMAS Y  BEBES                             		",,,,
"010301001           		","TIRA LECHE                                                                                		",TIRA LECHE                                                                                ,NIPRO                                                                                     ,
"010301002           		","NEOLACTIN TE BAJA LECHE X 24 BOLSITAS                                                     		",TE DE ACEITES ESENCIALES DE LAVANDULA                                                     ,FARDEL                                                                                    ,
"010301003           		","PACHA EVENFLO 8 ONZAS TE¾IDA                                                              		",PACHA                                                                                     ,EVENFLO                                                                                   ,
"010301004           		","PACHA EVENFLO 8 ONZAS DECORADA                                                            		",PACHA                                                                                     ,EVENFLO                                                                                   ,
"010301005           		","PACHA EVENFLO 9 ONZAS CUELLO ANCHO                                                        		",PACHA                                                                                     ,EVENFLO                                                                                   ,
"010301006           		","BIBERON EVENFLO #2 NORMAL X 36 UNIDADES                                                   		",BIBERON                                                                                   ,EVENFLO                                                                                   ,
"010301007           		","BIBERON EVENFLO #2 NORMAL X 4 UNIDADES                                                    		",BIBERON                                                                                   ,EVENFLO                                                                                   ,
"010301008           		","LAVAPACHAS EVENFLO Y BIBERON # 1306                                                       		",LAVAPACHAS                                                                                ,EVENFLO                                                                                   ,
"010301009           		","EXTRACTOR DE LECHE MANUAL EVENFLO                                                         		",EXTRACTOR DE LECHE                                                                        ,EVENFLO                                                                                   ,
"010301010           		","BIBERON EVENFLO # 1 INDIVIDUAL X 24 UNIDADES                                              		",BIBERON                                                                                   ,EVENFLO                                                                                   ,
"010301011           		","PACHA EVENFLO TORCIDA TRANSPARENTE X 8 ONZA #2017                                         		",PACHA                                                                                     ,EVENFLO                                                                                   ,
"010301012           		","PACHA EVENFLO ZOO X 2 ONZAS                  #2758                                        		",PACHA                                                                                     ,EVENFLO                                                                                   ,
"010301013           		","PACHA EVENFLO ZOO 8 ONZAS (3014)                                                          		",PACHA                                                                                     ,EVENFLO                                                                                   ,
"010301014           		","PACHA EVENFLO ZOO X 4 ONZAS  #3021                                                        		",PACHA                                                                                     ,EVENFLO                                                                                   ,
"010301015           		","PACHA FIRST ESSENTIALS TEÑIDA X 5 ONZAS 76127                                             		",PACHA                                                                                     ,GERBER                                                                                    ,
"010301016           		","PACHA FIRST ESSENTIALS TE¾IDA X 9 ONZAS 76145                                             		",PACHA                                                                                     ,GERBER                                                                                    ,
"010301017           		","PACHA EVENFLO EXAGONAL NEVADA 8 ONZAS         2369                                        		",PACHA                                                                                     ,EVENFLO                                                                                   ,
"010301018           		","BIBERON ESSETIALS LATEX FLUJO MEDIO 76150                                                 		",BIBERON                                                                                   ,GERBER                                                                                    ,
"010301019           		","BIBERON EVENFLO # 2 ANATOMICO X 36 FRASCOS                                                		",BIBERON                                                                                   ,EVENFLO                                                                                   ,
"010301020           		","PACHA EVENFLO DECORADA LOBY DE 8 ONZAS       #0017                                        		",PACHA                                                                                     ,EVENFLO                                                                                   ,
"010301021           		","PACHA DECORADA SEA FRIENDS DE 8 ONSAS        #3908                                        		",PACHA                                                                                     ,EVENFLO                                                                                   ,
"010301022           		","MORDEDERA EVENFLO DURA 3+ MESES                                                           		",MORDEDERA                                                                                 ,EVENFLO                                                                                   ,
"010301023           		","BIBERON EVENFLO ADVANCE FLUJO LENTO         (4584)                                        		",BIBERON                                                                                   ,EVENFLO                                                                                   ,
"010301024           		","BIBERON EVENFLO ADVANCE FLUJO MEDIO #1118                                                 		",BIBERON                                                                                   ,EVENFLO                                                                                   ,
"010301025           		","BIBERON ESSENTIAL SILICONA FLUJO RAPIDO 76143                                             		",BIBERON                                                                                   ,GERBER                                                                                    ,
"010301026           		","BIBERON ESSENCIALS LATEX FLUJO RAPIDO 76149                                               		",BIBERON                                                                                   ,GERBER                                                                                    ,
"010301027           		","BIBERON ESSENTIALS SILICONA FLUJO MEDIO 76142                                             		",BIBERON                                                                                   ,GERBER                                                                                    ,
"010301028           		","***PACHA BUHOS GERBER SILICONA 4 ONZAS 200097                                             		",PACHA                                                                                     ,GERBER                                                                                    ,
"010301029           		","PACHA EVENFLO DECORADA GRANJA X 8 ONZAS      #1458                                        		",PACHA                                                                                     ,EVENFLO                                                                                   ,
"010301030           		","MORDEDOR CANGREJO NI;A                                                                    		",MORDEDOR                                                                                  ,GERBER                                                                                    ,
"010301031           		","MORDEDOR CANGREJO NI;O                                                                    		",MORDEDOR                                                                                  ,GERBER                                                                                    ,
"010301032           		","PACHA BUHO CUELLO ANCHO X 5 ONZ                                                           		",PACHA                                                                                     ,EVENFLO                                                                                   ,
"010301033           		","PACHA BUHO CUELLO ANCHO X 9 ONZ                                                           		",PACHA                                                                                     ,EVENFLO                                                                                   ,
"010301034           		","BIBERON ADVANCED F/ LENTO CUELLO ANCHO X 2 UNIDADE                                        		",BIBERON                                                                                   ,EVENFLO                                                                                   ,
"010301035           		","PACHA FIRST ESSENTIALS FLUJO LENTO BLANCA X 5 ONZAS                                       		",PACHA                                                                                     ,GERBER                                                                                    ,
,,,,
"010302               CONVENIENCIA/ACCESORIOS DE LACTANCIA/MAMAS Y BEBES                              		",,,,
"010302001           		","VASO ENTRENADOR BOQUILLA SUAVE X 9                                                        		",VASO ENTRENADOR                                                                           ,EVENFLO                                                                                   ,
,,,,
"010401               CONVENIENCIA/ACCESORIOS DEL HOGAR/HOGAR                                         		",,,,
"010401001           		","BRON AIRE ESPACIADOR                                                                      		",ESPACIADOR DE VOLUMEN                                                                     ,SALVAPLASTIC                                                                              ,
"010401002           		","CORTADOR DE PASTILLAS  EZY DOCE                                                           		",CORTADOR DE PASTILLAS                                                                     ,VARIOS                                                                                    ,
"010401003           		","OFF FAMILY AEROSOL X 170 GRAMOS                                                           		",REPELENTE DE INSECTOS                                                                     ,JOHNSON                                                                                   ,
"010401004           		","CORTADOR DE PASTILLAS SAFETY SHIELD                                                       		",CORTADOR DE PASTILLAS                                                                     ,VARIOS                                                                                    ,
"010401005           		","PASTILLERO SEMANAL EZY DOSE                                                               		",PASTILLERO                                                                                ,VARIOS                                                                                    ,
"010401006           		","PASTILLERO SEMANAL A.M.- P.M                                                              		",PASTILLERO                                                                                ,VARIOS                                                                                    ,
"010401007           		","PASTILLERO SEMANAL PILL REMINDER                                                          		",PASTILLERO                                                                                ,VARIOS                                                                                    ,
"010401008           		","VASELINE LIP THERAPY BRILLO LABIAL                                                        		",BRILLO LABIAL                                                                             ,VASELINE                                                                                  ,
,,,,
"010501               CONVENIENCIA/ACCESORIOS DEPORTIVOS/FITNESS Y ORTOPEDIA                          		",,,,
"010501001           		","VENDA ELASTICA FUTURA 2 X 5 YARDAS                                                        		",VENDA                                                                                     ,FUTURA                                                                                    ,
"010501002           		","VENDA ELASTICA FUTURA 3 X 5 YARDAS                                                        		",VENDA                                                                                     ,FUTURA                                                                                    ,
"010501003           		","VENDA ELASTICA FUTURA 4 X 5 YARDAS                                                        		",VENDA                                                                                     ,MIGASA                                                                                    ,
"010501004           		","VENDA ELASTICA FUTURA 6 X 5 YARDAS                                                        		",VENDA                                                                                     ,FUTURA                                                                                    ,
"010501005           		","VENDA ELASTICA FUTURA 5 X 5 YARDAS                                                        		",VENDA                                                                                     ,FUTURA                                                                                    ,
"010501006           		","VENDA COBAN NEXCARE 3 INCH X 2M                                                           		",VENDA                                                                                     ,3M                                                                                        ,
"010501007           		","VENDA DE YESO EN ROLLO 15 CM X 5M                                                         		",VENDA                                                                                     ,NIPRO                                                                                     ,
"010501008           		","VENDA ELASTICA SUPERIOR 2 X 5 YARDAS                                                      		",VENDA                                                                                     ,SUPERIOR                                                                                  ,
"010501009           		","VENDA ELASTICA SUPERIOR  4 X 5 YARDAS                                                     		",VENDA                                                                                     ,SUPERIOR                                                                                  ,
"010501010           		","VENDA ELASTICA SUPERIOR 6 X 5 YARDAS                                                      		",VENDA                                                                                     ,SUPERIOR                                                                                  ,
,,,,
"010601               CONVENIENCIA/ACCESORIOS MEDICOS/PRIMEROS AUXILIOS                               		",,,,
"010601001           		","RECOLECTOR DE ORINA PEDIATRICO                                                            		",RECOLECTOR DE ORINA                                                                       ,VARIOS                                                                                    ,
"010601002           		","GOTEROS VACIOS                                                                            		",GOTERO                                                                                    ,VARIOS                                                                                    ,
"010601003           		","IRRIGADOR CON MANGUERA                                                                    		",IRRIGADOR                                                                                 ,NIPRO                                                                                     ,
"010601004           		","PERA PARA OIDO EDIGAR                                                                     		",PERA                                                                                      ,NIPRO                                                                                     ,
"010601005           		","MIGASA 2 X 10 YARDAS                                                                      		",GASA                                                                                      ,MIGASA                                                                                    ,
"010601006           		","MIGASA 3 X 10 YARDAS                                                                      		",GASA                                                                                      ,MIGASA                                                                                    ,
"010601007           		","MIGASA 4 X 10 YARDAS                                                                      		",GASA                                                                                      ,MIGASA                                                                                    ,
"010601008           		","MIGASA 5 X 10 YARDAS                                                                      		",GASA                                                                                      ,MIGASA                                                                                    ,
"010601009           		","SONDA VESICAL # 18                                                                        		",SONDA                                                                                     ,NIPRO                                                                                     ,
"010601010           		","DESCARTABLE PARA SUERO INFUSION NIPRO                                                     		",DESCARTABLE                                                                               ,NIPRO                                                                                     ,
"010601011           		","GUANTE DE LATEX NIPRO M X 50 PARES                                                        		",GUANTE                                                                                    ,NIPRO                                                                                     ,
"010601012           		","TERMOMETRO DIGITAL RIGIDO WELLPRO                                                         		",TERMOMETRO                                                                                ,LABORATORIOS BONIN                                                                        ,
